,Geo_FIPS,year,Geo_NAME,vehicles_per_worker,pct_unemployed,average_commute_time_per_worker_drive_alone,pct_car_wrkr_cmute_01_to_14_min,pct_car_wrkr_cmute_15_to_29_min,pct_car_wrkr_cmute_30_to_44_min,pct_car_wrkr_cmute_44_to_59_min,pct_car_wrkr_cmute_over_60_min,total_workers,land_area,total_population,ln_average_commute_time_per_worker_drive_alone,ln_vehicles_per_worker
1656,31005,2014,"Arthur County, Nebraska",0.5665024630541872,2.4154589371980677,24.147286821705425,0.2875,0.2,0.1375,0.15625,0.025,203,1852760339,476,3.184172026859881,-0.5682738506785373
1657,31007,2014,"Banner County, Nebraska",0.6537530266343826,6.741573033707865,27.602739726027398,0.21159420289855072,0.3130434782608696,0.20579710144927535,0.06666666666666667,0.04927536231884058,413,1932676863,788,3.317915033232392,-0.4250256339626579
1658,31009,2014,"Blaine County, Nebraska",0.6089743589743589,0.31545741324921134,25.865384615384617,0.4279475982532751,0.09606986899563319,0.1615720524017467,0.11353711790393013,0.1091703056768559,312,1840655040,594,3.252905573454512,-0.4959791156489963
1659,31011,2014,"Boone County, Nebraska",0.7885968159940763,2.757158006362672,17.41255605381166,0.56013456686291,0.2056349873843566,0.0782169890664424,0.05424726661059714,0.03952901597981497,2701,1778163914,5404,2.8571915582715484,-0.23750009508914477
1661,31015,2014,"Boyd County, Nebraska",0.7069672131147541,1.2096774193548387,17.954545454545453,0.46219512195121953,0.21341463414634146,0.12439024390243902,0.05731707317073171,0.02804878048780488,976,1398426308,2067,2.887843311542806,-0.3467709888217875
1662,31017,2014,"Brown County, Nebraska",0.7839947950553026,0.7614213197969544,12.61111111111111,0.6685878962536023,0.1440922190201729,0.030979827089337175,0.04178674351585014,0.0223342939481268,1537,3163293918,3090,2.534578259585238,-0.24335289761384046
1663,31019,2014,"Buffalo County, Nebraska",0.8663249211356467,4.055376363570471,15.055527080129847,0.6062334324042091,0.2092537553217126,0.07100971965619729,0.029279460197606234,0.024540123704715238,25360,2507361794,47388,2.7117451716250587,-0.14349524317250628
1664,31021,2014,"Burt County, Nebraska",0.840103997400065,2.360248447204969,23.70902394106814,0.4338959212376934,0.21870604781997188,0.14556962025316456,0.08368495077355836,0.07278481012658228,3077,1273201487,6690,3.165855732678626,-0.17422958837951227
1665,31023,2014,"Butler County, Nebraska",0.8117195004803074,4.085297418630752,20.538086202222825,0.3822534478272183,0.31303669008587043,0.166016133229248,0.04918032786885246,0.049440541243819934,4164,1514884746,8312,3.022281025973587,-0.20860044125779506
1668,31029,2014,"Chase County, Nebraska",0.7814796668299853,0.9891662741403674,11.286480047647409,0.6389041095890411,0.17643835616438355,0.06684931506849315,0.017534246575342465,0.020273972602739727,2041,2316533642,3990,2.4236055534330316,-0.2465661475908999
1669,31031,2014,"Cherry County, Nebraska",0.6830941983780412,3.966844286560095,14.525116082735332,0.6047565118912798,0.10985277463193659,0.10796526991317479,0.03020007550018875,0.041525103812759534,3206,15437761392,5749,2.6758792946327405,-0.3811225103589517
1670,31033,2014,"Cheyenne County, Nebraska",0.872501850481125,2.633426966292135,12.705499704316972,0.6539493865030674,0.2361963190184049,0.06096625766871166,0.006901840490797546,0.014570552147239263,5404,3098368270,10044,2.542034947310515,-0.13639050401253167
1671,31035,2014,"Clay County, Nebraska",0.8380414312617702,3.6936936936936933,21.69921875,0.35323383084577115,0.29519071310116085,0.1946932006633499,0.03980099502487562,0.05107794361525705,3186,1482222913,6425,3.0772762575941677,-0.17668773907569865
1673,31039,2014,"Cuming County, Nebraska",0.846860316104229,2.6548672566371683,16.633829889476214,0.5464357994153362,0.22577018214526648,0.07937935686979987,0.04025185518326962,0.04407465707218349,4682,1477895771,9081,2.8114385667184916,-0.1662195139819077
