total_count,station_from,station_to,average_transit_time,transit_weight
472,283-Euclid Av,313-Grant Av,1.65,3.5
337,283-Euclid Av,429-Shepherd Av,1.53,4.54
227,284-Far Rockaway - Mott Av,194-Beach 25 St,1.52,6.7
528,285-Flatbush Av - Brooklyn College,388-Newkirk Av,2.17,4.11
704,286-Flushing - Main St,366-Mets - Willets Point,2.58,3.66
404,287-Flushing Av,218-Broadway,1.44,3.56
406,287-Flushing Av,375-Myrtle - Willoughby Avs,1.48,3.65
679,288-Flushing Av,361-Lorimer St,1.5,2.21
694,288-Flushing Av,377-Myrtle Av,1.19,1.71
438,289-Fordham Rd,348-Kingsbridge Rd,1.2,2.74
452,289-Fordham Rd,57-183 St,1.16,2.57
361,29-145 St,20-135 St,2.03,5.62
361,29-145 St,322-Harlem - 148 St,2,5.54
404,290-Fordham Rd,349-Kingsbridge Rd,1.5,3.71
21,290-Fordham Rd,448-Tremont Av,2.5,119.05
389,290-Fordham Rd,56-182-183 Sts,1.5,3.86
419,291-Forest Av,300-Fresh Pond Rd,1.58,3.77
415,291-Forest Av,427-Seneca Av,1.13,2.72
475,292-Forest Hills - 71 Av,125-67 Av,1.74,3.66
686,292-Forest Hills - 71 Av,136-75 Av,2,2.92
751,292-Forest Hills - 71 Av,335-Jackson Hts - Roosevelt Av,7.1,9.45
134,292-Forest Hills - 71 Av,344-Kew Gardens - Union Tpke,2.62,19.55
376,293-Fort Hamilton Pkwy,143-8 Av,1.03,2.74
376,293-Fort Hamilton Pkwy,387-New Utrecht Av,2,5.32
809,294-Fort Hamilton Pkwy,245-Church Av,1.57,1.94
807,294-Fort Hamilton Pkwy,33-15 St - Prospect Park,2.56,3.17
368,295-Fort Hamilton Pkwy,108-50 St,1.5,4.08
368,295-Fort Hamilton Pkwy,156-9 Av,2.41,6.55
501,296-Franklin Av,174-Atlantic Av - Barclays Ctr,4.77,9.52
359,296-Franklin Av,262-Crown Hts - Utica Av,3.87,10.78
788,296-Franklin Av,278-Eastern Pkwy - Brooklyn Museum,1.7,2.16
403,296-Franklin Av,393-Nostrand Av,1.51,3.75
527,296-Franklin Av,409-President St,3,5.69
337,297-Franklin Av,254-Clinton - Washington Avs,1.51,4.48
338,297-Franklin Av,394-Nostrand Av,1.07,3.17
330,297-Franklin Av,399-Park Pl,2,6.06
581,298-Franklin St,230-Canal St,1,1.72
576,298-Franklin St,240-Chambers St,2.45,4.25
677,299-Freeman St,430-Simpson St,1.52,2.25
666,299-Freeman St,46-174 St,2.17,3.26
523,3-103 St,161-96 St,2,3.82
523,3-103 St,236-Cathedral Pkwy,1.5,2.87
368,30-145 St,18-125 St,3.52,9.57
98,30-145 St,21-135 St,2.29,23.37
386,30-145 St,34-155 St,1.5,3.89
18,30-145 St,448-Tremont Av,10,555.56
415,300-Fresh Pond Rd,291-Forest Av,1.63,3.93
419,300-Fresh Pond Rd,367-Middle Village - Metropolitan Av,2.06,4.92
716,301-Fulton St,400-Park Pl,2.33,3.25
716,301-Fulton St,461-Wall St,1.22,1.7
404,302-Fulton St,253-Clinton - Washington Avs,1.5,3.71
406,302-Fulton St,327-Hoyt - Schermerhorn Sts,2.27,5.59
362,303-Fulton St,217-Broad St,1.52,4.2
738,303-Fulton St,224-Brooklyn Bridge - City Hall,1.72,2.33
667,303-Fulton St,241-Chambers St,2,3
362,303-Fulton St,242-Chambers St,1.52,4.2
667,303-Fulton St,324-High St,3.04,4.56
738,303-Fulton St,462-Wall St,1.53,2.07
6,304-Gates Av,243-Chauncey St,2.5,416.67
351,304-Gates Av,320-Halsey St,1.5,4.27
349,304-Gates Av,353-Kosciuszko St,1.5,4.3
6,304-Gates Av,377-Myrtle Av,3.17,528.33
514,305-Graham Av,311-Grand St,1.5,2.92
514,305-Graham Av,362-Lorimer St,2.02,3.93
788,306-Grand Army Plaza,206-Bergen St,2.03,2.58
822,306-Grand Army Plaza,278-Eastern Pkwy - Brooklyn Museum,1.64,2
475,307-Grand Av - Newtown,280-Elmhurst Av,1.5,3.16
462,307-Grand Av - Newtown,470-Woodhaven Blvd,1.99,4.31
733,308-Grand Central - 42 St,105-5 Av,1.5,2.05
733,308-Grand Central - 42 St,456-Vernon Blvd - Jackson Av,4.71,6.43
646,309-Grand Central - 42 St,445-Times Sq - 42 St,1.5,2.32
517,31-145 St,22-137 St - City College,1.61,3.11
519,31-145 St,36-157 St,2,3.85
602,310-Grand Central - 42 St,111-51 St,1.83,3.04
694,310-Grand Central - 42 St,118-59 St,2.21,3.18
691,310-Grand Central - 42 St,27-14 St - Union Sq,4.17,6.03
605,310-Grand Central - 42 St,87-33 St,2,3.31
514,311-Grand St,305-Graham Av,1.45,2.82
514,311-Grand St,369-Montrose Av,1,1.95
296,312-Grand St,174-Atlantic Av - Barclays Ctr,11.6,39.19
466,312-Grand St,221-Broadway-Lafayette St,2.08,4.46
170,312-Grand St,265-DeKalb Av,8.77,51.59
472,313-Grant Av,145-80 St,1.5,3.18
464,313-Grant Av,283-Euclid Av,2.06,4.44
406,317-Greenpoint Av,379-Nassau Av,1.44,3.55
404,317-Greenpoint Av,64-21 St,2.56,6.34
351,318-Gun Hill Rd,192-Baychester Av,3.41,9.72
354,318-Gun Hill Rd,406-Pelham Pkwy,2.67,7.54
436,319-Gun Hill Rd,226-Burke Av,1.54,3.53
436,319-Gun Hill Rd,67-219 St,1.6,3.67
27,32-149 St - Grand Concourse,16-125 St,8.04,297.78
424,32-149 St - Grand Concourse,20-135 St,3.3,7.78
711,32-149 St - Grand Concourse,23-138 St - Grand Concourse,2.32,3.26
452,32-149 St - Grand Concourse,37-161 St - Yankee Stadium,2.49,5.51
710,32-149 St - Grand Concourse,84-3 Av - 149 St,2.13,3
5,320-Halsey St,220-Broadway Jct,2.5,500
351,320-Halsey St,243-Chauncey St,1.5,4.27
349,320-Halsey St,304-Gates Av,1.5,4.3
7,320-Halsey St,353-Kosciuszko St,2.5,357.14
505,321-Halsey St,376-Myrtle - Wyckoff Avs,1.87,3.7
503,321-Halsey St,467-Wilson Av,2.5,4.97
358,322-Harlem - 148 St,29-145 St,1.71,4.78
694,323-Hewes St,361-Lorimer St,1.5,2.16
679,323-Hewes St,364-Marcy Av,1,1.47
667,324-High St,303-Fulton St,3.09,4.63
667,324-High St,339-Jay St - MetroTech,2.05,3.07
576,325-Houston St,230-Canal St,1.68,2.92
581,325-Houston St,244-Christopher St - Sheridan Sq,1.54,2.65
232,326-Howard Beach - JFK Airport,166-Aqueduct - N Conduit Av,2.03,8.75
238,326-Howard Beach - JFK Airport,216-Broad Channel,6.51,27.35
406,327-Hoyt - Schermerhorn Sts,205-Bergen St,1.85,4.56
404,327-Hoyt - Schermerhorn Sts,302-Fulton St,1.88,4.65
667,327-Hoyt - Schermerhorn Sts,339-Jay St - MetroTech,1.54,2.31
338,327-Hoyt - Schermerhorn Sts,354-Lafayette Av,2,5.92
329,327-Hoyt - Schermerhorn Sts,394-Nostrand Av,4.96,15.08
716,328-Hoyt St,210-Borough Hall,1.5,2.09
716,328-Hoyt St,383-Nevins St,1.18,1.65
807,33-15 St - Prospect Park,128-7 Av,1.68,2.08
809,33-15 St - Prospect Park,294-Fort Hamilton Pkwy,2.43,3
733,330-Hunters Point Av,259-Court Sq,1.99,2.71
733,330-Hunters Point Av,456-Vernon Blvd - Jackson Av,1,1.36
504,331-Hunts Point Av,360-Longwood Av,1.55,3.08
72,331-Hunts Point Av,401-Parkchester,6.89,95.69
482,331-Hunts Point Av,466-Whitlock Av,1.59,3.3
50,331-Hunts Point Av,83-3 Av - 138 St,7.3,146
677,332-Intervale Av,412-Prospect Av,1.44,2.13
666,332-Intervale Av,430-Simpson St,1.08,1.62
402,333-Inwood - 207 St,270-Dyckman St,1.58,3.93
666,334-Jackson Av,412-Prospect Av,1.57,2.36
677,334-Jackson Av,84-3 Av - 149 St,2.07,3.06
475,335-Jackson Hts - Roosevelt Av,123-65 St,1.5,3.16
462,335-Jackson Hts - Roosevelt Av,280-Elmhurst Av,1.8,3.9
759,335-Jackson Hts - Roosevelt Av,292-Forest Hills - 71 Av,7.03,9.26
346,335-Jackson Hts - Roosevelt Av,415-Queens Plaza,6.33,18.29
405,335-Jackson Hts - Roosevelt Av,65-21 St - Queensbridge,6.69,16.52
7,336-Jamaica - 179 St,403-Parsons Blvd,2.79,398.57
405,336-Jamaica - 179 St,43-169 St,1.53,3.78
281,337-Jamaica - Van Wyck,214-Briarwood - Van Wyck Blvd,1.5,5.34
127,337-Jamaica - Van Wyck,344-Kew Gardens - Union Tpke,3.15,24.8
408,337-Jamaica - Van Wyck,442-Sutphin Blvd - Archer Av - JFK Airport,7.76,19.02
765,338-Jamaica Center - Parsons/Archer,442-Sutphin Blvd - Archer Av - JFK Airport,1.39,1.82
405,339-Jay St - MetroTech,205-Bergen St,2.93,7.23
426,339-Jay St - MetroTech,260-Court St,1.79,4.2
424,339-Jay St - MetroTech,265-DeKalb Av,3.78,8.92
667,339-Jay St - MetroTech,324-High St,2,3
667,339-Jay St - MetroTech,327-Hoyt - Schermerhorn Sts,1.52,2.28
405,339-Jay St - MetroTech,474-York St,1.5,3.7
389,34-155 St,30-145 St,1.52,3.91
386,34-155 St,37-161 St - Yankee Stadium,1.51,3.91
514,341-Jefferson St,266-DeKalb Av,1.5,2.92
514,341-Jefferson St,370-Morgan Av,2.05,3.99
690,342-Junction Blvd,158-90 St - Elmhurst Av,1.48,2.14
65,342-Junction Blvd,366-Mets - Willets Point,4.1,63.08
668,342-Junction Blvd,4-103 St - Corona Plaza,1.04,1.56
43,342-Junction Blvd,472-Woodside - 61 St,4.06,94.42
388,343-Junius St,407-Pennsylvania Av,1.63,4.2
391,343-Junius St,420-Rockaway Av,1.06,2.71
686,344-Kew Gardens - Union Tpke,136-75 Av,1.51,2.2
686,344-Kew Gardens - Union Tpke,214-Briarwood - Van Wyck Blvd,2.16,3.15
134,344-Kew Gardens - Union Tpke,292-Forest Hills - 71 Av,2.58,19.25
129,344-Kew Gardens - Union Tpke,337-Jamaica - Van Wyck,3.62,28.06
5,344-Kew Gardens - Union Tpke,403-Parsons Blvd,3.7,740
404,345-Kings Hwy,180-Avenue P,1.5,3.71
366,345-Kings Hwy,182-Avenue U,2,5.46
376,346-Kings Hwy,181-Avenue U,2,5.32
376,346-Kings Hwy,187-Bay Pkwy,2,5.32
429,347-Kings Hwy,178-Avenue M,2.31,5.38
430,347-Kings Hwy,183-Avenue U,2.53,5.88
98,347-Kings Hwy,389-Newkirk Plaza,4.56,46.53
98,347-Kings Hwy,428-Sheepshead Bay,7.15,72.96
438,348-Kingsbridge Rd,204-Bedford Park Blvd - Lehman College,2.15,4.91
452,348-Kingsbridge Rd,289-Fordham Rd,1.18,2.61
401,349-Kingsbridge Rd,203-Bedford Park Blvd,2.08,5.19
410,349-Kingsbridge Rd,290-Fordham Rd,1.53,3.73
337,35-155 St,28-145 St,1.5,4.45
337,35-155 St,38-163 St - Amsterdam Av,1.5,4.45
337,350-Kingston - Throop Avs,394-Nostrand Av,1.63,4.84
338,350-Kingston - Throop Avs,451-Utica Av,1.58,4.67
403,351-Kingston Av,262-Crown Hts - Utica Av,4.2,10.42
386,351-Kingston Av,393-Nostrand Av,1.77,4.59
415,352-Knickerbocker Av,238-Central Av,2,4.82
419,352-Knickerbocker Av,376-Myrtle - Wyckoff Avs,2.92,6.97
351,353-Kosciuszko St,304-Gates Av,1.5,4.27
5,353-Kosciuszko St,320-Halsey St,2.5,500
356,353-Kosciuszko St,377-Myrtle Av,1.52,4.27
338,354-Lafayette Av,254-Clinton - Washington Avs,1.57,4.64
337,354-Lafayette Av,327-Hoyt - Schermerhorn Sts,1.78,5.28
525,355-Lexington Av/53 St,106-5 Av/53 St,1.58,3.01
520,355-Lexington Av/53 St,259-Court Sq,3.1,5.96
757,356-Lexington Av/59 St,107-5 Av/59 St,1.71,2.26
296,356-Lexington Av/59 St,415-Queens Plaza,6.4,21.62
461,356-Lexington Av/59 St,416-Queensboro Plaza,5.03,10.91
662,357-Lexington Av/63 St,115-57 St,2.76,4.17
436,357-Lexington Av/63 St,116-57 St - 7 Av,3.16,7.25
693,357-Lexington Av/63 St,132-72 St,2,2.89
405,357-Lexington Av/63 St,424-Roosevelt Island,2.54,6.27
337,358-Liberty Av,220-Broadway Jct,2.27,6.74
338,358-Liberty Av,454-Van Siclen Av,1.5,4.44
501,359-Livonia Av,385-New Lots Av,1.5,2.99
505,359-Livonia Av,443-Sutter Av,1.5,2.97
517,36-157 St,31-145 St,2,3.87
519,36-157 St,42-168 St - Washington Hts,1.59,3.06
504,360-Longwood Av,274-E 149 St,1.99,3.95
491,360-Longwood Av,331-Hunts Point Av,2.64,5.38
694,361-Lorimer St,288-Flushing Av,1.5,2.16
679,361-Lorimer St,323-Hewes St,1.02,1.5
386,362-Lorimer St,202-Bedford Av,1.58,4.09
514,362-Lorimer St,305-Graham Av,1,1.95
517,363-Marble Hill - 225 St,66-215 St,1.5,2.9
514,363-Marble Hill - 225 St,74-231 St,1.5,2.92
724,364-Marcy Av,282-Essex St,7.51,10.37
694,364-Marcy Av,323-Hewes St,1,1.44
46,364-Marcy Av,377-Myrtle Av,4.35,94.57
406,365-Metropolitan Av,218-Broadway,1.61,3.97
404,365-Metropolitan Av,379-Nassau Av,3.14,7.77
704,366-Mets - Willets Point,286-Flushing - Main St,3.5,4.97
43,366-Mets - Willets Point,342-Junction Blvd,4.12,95.81
670,366-Mets - Willets Point,8-111 St,1.55,2.31
415,367-Middle Village - Metropolitan Av,300-Fresh Pond Rd,2.14,5.16
458,368-Middletown Rd,225-Buhre Av,1.5,3.28
455,368-Middletown Rd,464-Westchester Sq - E Tremont Av,1.53,3.36
514,369-Montrose Av,311-Grand St,1,1.95
514,369-Montrose Av,370-Morgan Av,1.81,3.52
452,37-161 St - Yankee Stadium,32-149 St - Grand Concourse,2.82,6.24
389,37-161 St - Yankee Stadium,34-155 St,1.51,3.88
386,37-161 St - Yankee Stadium,39-167 St,2.5,6.48
452,37-161 St - Yankee Stadium,40-167 St,1.83,4.05
514,370-Morgan Av,341-Jefferson St,2,3.89
514,370-Morgan Av,369-Montrose Av,1.81,3.52
354,371-Morris Park,275-E 180 St,3.21,9.07
351,371-Morris Park,406-Pelham Pkwy,1.14,3.25
515,372-Morrison Av- Sound View,279-Elder Av,1,1.94
482,372-Morrison Av- Sound View,437-St Lawrence Av,1.35,2.8
439,373-Mosholu Pkwy,204-Bedford Park Blvd - Lehman College,1.71,3.9
434,373-Mosholu Pkwy,471-Woodlawn,2,4.61
452,374-Mt Eden Av,44-170 St,1.41,3.12
438,374-Mt Eden Av,49-176 St,1.02,2.33
406,375-Myrtle - Willoughby Avs,201-Bedford - Nostrand Avs,1.87,4.61
404,375-Myrtle - Willoughby Avs,287-Flushing Av,1.49,3.69
514,376-Myrtle - Wyckoff Avs,266-DeKalb Av,1.55,3.02
503,376-Myrtle - Wyckoff Avs,321-Halsey St,1.5,2.98
415,376-Myrtle - Wyckoff Avs,352-Knickerbocker Av,2,4.82
419,376-Myrtle - Wyckoff Avs,427-Seneca Av,1.5,3.58
419,377-Myrtle Av,238-Central Av,2.37,5.66
679,377-Myrtle Av,288-Flushing Av,1.5,2.21
6,377-Myrtle Av,304-Gates Av,3,500
356,377-Myrtle Av,353-Kosciuszko St,1.52,4.27
45,377-Myrtle Av,364-Marcy Av,4,88.89
404,379-Nassau Av,317-Greenpoint Av,1.31,3.24
406,379-Nassau Av,365-Metropolitan Av,3.13,7.71
337,38-163 St - Amsterdam Av,35-155 St,1.15,3.41
337,38-163 St - Amsterdam Av,41-168 St,1.89,5.61
429,380-Neck Rd,183-Avenue U,1,2.33
430,380-Neck Rd,428-Sheepshead Bay,2.5,5.81
365,381-Neptune Av,184-Avenue X,2.03,5.56
366,381-Neptune Av,458-W 8 St - NY Aquarium,1.5,4.1
424,382-Nereid Av,460-Wakefield - 241 St,2,4.72
436,382-Nereid Av,75-233 St,1.5,3.44
1289,383-Nevins St,174-Atlantic Av - Barclays Ctr,1.5,1.16
573,383-Nevins St,210-Borough Hall,1.74,3.04
716,383-Nevins St,328-Hoyt St,1.5,2.09
501,385-New Lots Av,272-E 105 St,2.32,4.63
505,385-New Lots Av,359-Livonia Av,1.5,2.97
391,386-New Lots Av,455-Van Siclen Av,1.5,3.84
376,387-New Utrecht Av,293-Fort Hamilton Pkwy,2.47,6.57
376,387-New Utrecht Av,52-18 Av,1.5,3.99
528,388-Newkirk Av,208-Beverly Rd,1.23,2.33
527,388-Newkirk Av,285-Flatbush Av - Brooklyn College,2.19,4.16
430,389-Newkirk Plaza,175-Avenue H,1.23,2.86
98,389-Newkirk Plaza,246-Church Av,2.58,26.33
429,389-Newkirk Plaza,256-Cortelyou Rd,1.5,3.5
98,389-Newkirk Plaza,347-Kings Hwy,4.07,41.53
389,39-167 St,37-161 St - Yankee Stadium,2.5,6.43
386,39-167 St,45-170 St,2,5.18
475,390-Northern Blvd,102-46 St,1.5,3.16
462,390-Northern Blvd,123-65 St,1.35,2.92
367,391-Norwood - 205 St,203-Bedford Park Blvd,4,10.9
344,392-Norwood Av,251-Cleveland St,1.01,2.94
355,392-Norwood Av,261-Crescent St,1.99,5.61
6,392-Norwood Av,453-Van Siclen Av,2.5,416.67
386,393-Nostrand Av,296-Franklin Av,1.7,4.4
403,393-Nostrand Av,351-Kingston Av,1.59,3.95
337,394-Nostrand Av,297-Franklin Av,1,2.97
330,394-Nostrand Av,327-Hoyt - Schermerhorn Sts,5.09,15.42
338,394-Nostrand Av,350-Kingston - Throop Avs,1.92,5.68
329,394-Nostrand Av,451-Utica Av,2.46,7.48
429,396-Ocean Pkwy,215-Brighton Beach,2.01,4.69
430,396-Ocean Pkwy,458-W 8 St - NY Aquarium,2,4.65
232,398-Ozone Park - Lefferts Blvd,10-111 St,1.4,6.03
330,399-Park Pl,211-Botanic Garden,1.5,4.55
330,399-Park Pl,297-Franklin Av,2,6.06
690,4-103 St - Corona Plaza,342-Junction Blvd,1.02,1.48
668,4-103 St - Corona Plaza,8-111 St,1,1.5
14,40-167 St,227-Burnside Av,5,357.14
452,40-167 St,37-161 St - Yankee Stadium,2.05,4.54
438,40-167 St,44-170 St,1.5,3.42
716,400-Park Pl,240-Chambers St,1.1,1.54
716,400-Park Pl,301-Fulton St,2.48,3.46
458,401-Parkchester,235-Castle Hill Av,1.54,3.36
39,401-Parkchester,331-Hunts Point Av,5.69,145.9
515,401-Parkchester,437-St Lawrence Av,1.5,2.91
430,402-Parkside Av,246-Church Av,1.49,3.47
429,402-Parkside Av,414-Prospect Park,1.75,4.08
5,403-Parsons Blvd,336-Jamaica - 179 St,3,600
7,403-Parsons Blvd,344-Kew Gardens - Union Tpke,3.79,541.43
407,403-Parsons Blvd,43-169 St,5.69,13.98
405,403-Parsons Blvd,441-Sutphin Blvd,1.42,3.51
455,404-Pelham Bay Park,225-Buhre Av,2.5,5.49
436,405-Pelham Pkwy,164-Allerton Av,2.03,4.66
436,405-Pelham Pkwy,222-Bronx Park East,2.05,4.7
351,406-Pelham Pkwy,318-Gun Hill Rd,2.7,7.69
354,406-Pelham Pkwy,371-Morris Park,1.06,2.99
391,407-Pennsylvania Av,343-Junius St,1.64,4.19
388,407-Pennsylvania Av,455-Van Siclen Av,1.17,3.02
528,409-President St,296-Franklin Av,2.91,5.51
527,409-President St,440-Sterling St,1.25,2.37
330,41-168 St,28-145 St,3.53,10.7
337,41-168 St,38-163 St - Amsterdam Av,1.13,3.35
408,41-168 St,48-175 St,2,4.9
710,410-Prince St,144-8 St - NYU,1.91,2.69
711,410-Prince St,229-Canal St,1.82,2.56
666,412-Prospect Av,332-Intervale Av,1.17,1.76
677,412-Prospect Av,334-Jackson Av,1.65,2.44
514,413-Prospect Av,157-9 St,1.96,3.81
501,413-Prospect Av,78-25 St,1.53,3.05
527,414-Prospect Park,130-7 Av,3.93,7.46
330,414-Prospect Park,211-Botanic Garden,3,9.09
98,414-Prospect Park,246-Church Av,2,20.41
430,414-Prospect Park,402-Parkside Av,1.51,3.51
525,415-Queens Plaza,259-Court Sq,1.67,3.18
354,415-Queens Plaza,335-Jackson Hts - Roosevelt Av,5.63,15.9
296,415-Queens Plaza,356-Lexington Av/59 St,6.1,20.61
462,415-Queens Plaza,94-36 St,2,4.33
733,416-Queensboro Plaza,259-Court Sq,1.52,2.07
461,416-Queensboro Plaza,356-Lexington Av/59 St,4.57,9.91
65,416-Queensboro Plaza,472-Woodside - 61 St,5.5,84.62
668,416-Queensboro Plaza,86-33 St,2.41,3.61
461,416-Queensboro Plaza,95-39 Av,2,4.34
338,417-Ralph Av,421-Rockaway Av,1.5,4.44
337,417-Ralph Av,451-Utica Av,1.51,4.48
457,418-Rector St,257-Cortlandt St,1.19,2.6
523,418-Rector St,432-South Ferry,2.14,4.09
523,418-Rector St,459-WTC Cortlandt,1.01,1.93
455,418-Rector St,465-Whitehall St,2,4.4
517,42-168 St - Washington Hts,36-157 St,1.52,2.94
519,42-168 St - Washington Hts,55-181 St,2,3.85
388,420-Rockaway Av,343-Junius St,1.02,2.63
391,420-Rockaway Av,426-Saratoga Av,1.94,4.96
338,421-Rockaway Av,220-Broadway Jct,4.63,13.7
337,421-Rockaway Av,417-Ralph Av,1.99,5.91
464,422-Rockaway Blvd,155-88 St,1.45,3.13
238,422-Rockaway Blvd,166-Aqueduct - N Conduit Av,4.04,16.97
234,422-Rockaway Blvd,6-104 St,5.51,23.55
246,423-Rockaway Park - Beach 116 St,193-Beach 105 St,2.02,8.21
405,424-Roosevelt Island,357-Lexington Av/63 St,2.5,6.17
405,424-Roosevelt Island,65-21 St - Queensbridge,2.41,5.95
388,426-Saratoga Av,420-Rockaway Av,1.83,4.72
391,426-Saratoga Av,444-Sutter Av - Rutland Rd,1.56,3.99
419,427-Seneca Av,291-Forest Av,1.06,2.53
415,427-Seneca Av,376-Myrtle - Wyckoff Avs,1.58,3.81
528,428-Sheepshead Bay,215-Brighton Beach,2.61,4.94
98,428-Sheepshead Bay,347-Kings Hwy,4,40.82
429,428-Sheepshead Bay,380-Neck Rd,2.02,4.71
338,429-Shepherd Av,283-Euclid Av,1.52,4.5
337,429-Shepherd Av,454-Van Siclen Av,1.75,5.19
407,43-169 St,336-Jamaica - 179 St,2,4.91
405,43-169 St,403-Parsons Blvd,2.01,4.96
666,430-Simpson St,299-Freeman St,1.52,2.28
677,430-Simpson St,332-Intervale Av,1.04,1.54
807,431-Smith - 9 Sts,234-Carroll St,2,2.48
809,431-Smith - 9 Sts,96-4 Av,1.8,2.22
523,432-South Ferry,418-Rector St,2.54,4.86
752,434-Spring St,232-Canal St,1.84,2.45
752,434-Spring St,457-W 4 St,2,2.66
602,435-Spring St,209-Bleecker St,1.04,1.73
605,435-Spring St,229-Canal St,2.08,3.44
515,437-St Lawrence Av,372-Morrison Av- Sound View,1.52,2.95
482,437-St Lawrence Av,401-Parkchester,1.54,3.2
462,439-Steinway St,102-46 St,1.75,3.79
475,439-Steinway St,94-36 St,2,4.21
438,44-170 St,374-Mt Eden Av,1.34,3.06
452,44-170 St,40-167 St,1.52,3.36
528,440-Sterling St,409-President St,1.28,2.42
527,440-Sterling St,468-Winthrop St,1.5,2.85
405,441-Sutphin Blvd,214-Briarwood - Van Wyck Blvd,2,4.94
407,441-Sutphin Blvd,403-Parsons Blvd,4.96,12.19
350,442-Sutphin Blvd - Archer Av - JFK Airport,15-121 St,4,11.43
408,442-Sutphin Blvd - Archer Av - JFK Airport,337-Jamaica - Van Wyck,2.48,6.08
768,442-Sutphin Blvd - Archer Av - JFK Airport,338-Jamaica Center - Parsons/Archer,1.54,2.01
7,442-Sutphin Blvd - Archer Av - JFK Airport,9-111 St,5,714.29
505,443-Sutter Av,173-Atlantic Av,1.5,2.97
501,443-Sutter Av,359-Livonia Av,1.13,2.26
391,444-Sutter Av - Rutland Rd,262-Crown Hts - Utica Av,3.05,7.8
388,444-Sutter Av - Rutland Rd,426-Saratoga Av,1.52,3.92
819,445-Times Sq - 42 St,104-49 St,1.71,2.09
733,445-Times Sq - 42 St,105-5 Av,1.5,2.05
581,445-Times Sq - 42 St,110-50 St,2,3.44
374,445-Times Sq - 42 St,116-57 St - 7 Av,2.96,7.91
727,445-Times Sq - 42 St,133-72 St,4.1,5.64
646,445-Times Sq - 42 St,309-Grand Central - 42 St,1.5,2.32
733,445-Times Sq - 42 St,88-34 St - 11 Av,3.59,4.9
1193,445-Times Sq - 42 St,89-34 St - Herald Sq,1.75,1.47
1239,445-Times Sq - 42 St,90-34 St - Penn Station,1.24,1
21,448-Tremont Av,290-Fordham Rd,2.64,125.71
21,448-Tremont Av,30-145 St,8.36,398.1
389,448-Tremont Av,47-174-175 Sts,1.5,3.86
383,448-Tremont Av,56-182-183 Sts,1.5,3.92
386,449-Union Sq - 14 St,120-6 Av,1.5,3.89
386,449-Union Sq - 14 St,82-3 Av,0.83,2.15
389,45-170 St,39-167 St,2,5.14
386,45-170 St,47-174-175 Sts,2.03,5.26
501,450-Union St,157-9 St,1.64,3.27
514,450-Union St,174-Atlantic Av - Barclays Ctr,2,3.89
329,451-Utica Av,220-Broadway Jct,3.52,10.7
337,451-Utica Av,350-Kingston - Throop Avs,1.51,4.48
330,451-Utica Av,394-Nostrand Av,3.03,9.18
338,451-Utica Av,417-Ralph Av,2,5.92
501,452-Van Cortlandt Park - 242 St,76-238 St,1.52,3.03
350,453-Van Siclen Av,163-Alabama Av,1.49,4.26
349,453-Van Siclen Av,251-Cleveland St,1.5,4.3
6,453-Van Siclen Av,392-Norwood Av,2.5,416.67
337,454-Van Siclen Av,358-Liberty Av,1.52,4.51
338,454-Van Siclen Av,429-Shepherd Av,1.5,4.44
388,455-Van Siclen Av,386-New Lots Av,1.35,3.48
391,455-Van Siclen Av,407-Pennsylvania Av,1,2.56
733,456-Vernon Blvd - Jackson Av,308-Grand Central - 42 St,4.82,6.58
733,456-Vernon Blvd - Jackson Av,330-Hunters Point Av,0.89,1.21
1238,457-W 4 St,221-Broadway-Lafayette St,2.37,1.91
330,457-W 4 St,232-Canal St,2.6,7.88
1082,457-W 4 St,25-14 St,2.36,2.18
767,457-W 4 St,26-14 St,1.68,2.19
752,457-W 4 St,434-Spring St,1.5,1.99
466,457-W 4 St,89-34 St - Herald Sq,3,6.44
796,458-W 8 St - NY Aquarium,255-Coney Island - Stillwell Av,1.5,1.88
365,458-W 8 St - NY Aquarium,381-Neptune Av,1.5,4.11
429,458-W 8 St - NY Aquarium,396-Ocean Pkwy,1.5,3.5
523,459-WTC Cortlandt,240-Chambers St,1.34,2.56
523,459-WTC Cortlandt,418-Rector St,1.51,2.89
677,46-174 St,299-Freeman St,2.2,3.25
666,46-174 St,463-West Farms Sq - E Tremont Av,1.94,2.91
420,460-Wakefield - 241 St,382-Nereid Av,1.56,3.71
716,461-Wall St,249-Clark St,4.51,6.3
716,461-Wall St,301-Fulton St,1.09,1.52
738,462-Wall St,213-Bowling Green,1.21,1.64
738,462-Wall St,303-Fulton St,1.46,1.98
666,463-West Farms Sq - E Tremont Av,275-E 180 St,1.69,2.54
677,463-West Farms Sq - E Tremont Av,46-174 St,2.01,2.97
458,464-Westchester Sq - E Tremont Av,368-Middletown Rd,1.5,3.28
455,464-Westchester Sq - E Tremont Av,475-Zerega Av,1.3,2.86
424,465-Whitehall St,260-Court St,3.5,8.25
457,465-Whitehall St,418-Rector St,1.94,4.25
482,466-Whitlock Av,279-Elder Av,1.65,3.42
515,466-Whitlock Av,331-Hunts Point Av,2,3.88
503,467-Wilson Av,228-Bushwick Av - Aberdeen St,1.5,2.98
505,467-Wilson Av,321-Halsey St,2.29,4.53
527,468-Winthrop St,247-Church Av,4.09,7.76
528,468-Winthrop St,440-Sterling St,1.58,2.99
