,fips,cbp_total_employees,cbp_total_establishments
851688,46061,349,75
851733,46063,445,47
851757,46065,6743,652
852058,46067,2000,217
852172,46069,470,48
852196,46071,263,53
852223,46073,1225,81
852263,46075,269,51
852287,46077,1175,156
852358,46079,3910,370
852532,46081,10120,1090
852928,46083,21375,1731
853384,46085,532,74
853428,46087,932,187
853535,46089,295,69
853562,46091,1105,146
853634,46093,5453,707
853929,46095,161,19
853936,46097,545,80
853978,46099,120386,5834
854901,46101,1544,156
854987,46102,1931,70
855023,46103,48223,3770
855811,46105,723,121
855875,46107,529,101
855940,46109,2051,238
856053,46111,349,51
856081,46115,1211,178
856159,46117,881,115
856223,46119,288,60
856252,46121,955,51
856278,46123,1703,203
856395,46125,1419,243
856524,46127,9270,528
856746,46129,1818,217
856874,46135,11651,703
857173,46137,309,45
857196,46999,2240,245
857304,47001,41120,1535
857765,47003,14983,800
858075,47005,3287,288
858213,47007,820,109
858274,47009,43072,2371
858888,47011,41548,1962
859398,47013,6982,564
859616,47015,1767,211
859719,47017,5467,419
859918,47019,9030,696
860145,47021,7054,626
860380,47023,3109,238
860488,47025,7998,437
860686,47027,1049,112
860760,47029,6107,468
860925,47031,19426,1218
861315,47033,2071,225
861429,47035,15831,1094
861790,47037,464535,20293
863071,47039,2947,212
863188,47041,4910,293
863332,47043,14796,990
863673,47045,12975,786
863959,47047,6990,630
864210,47049,4161,259
864332,47051,12868,700
864624,47053,11623,911
864944,47055,9139,530
865161,47057,2556,226
865278,47059,22850,1154
865671,47061,1284,159
865751,47063,28567,1291
866147,47065,195393,9244
867239,47067,403,52
867267,47069,5687,337
867414,47071,6709,491
867619,47073,10374,616
867854,47075,4584,294
867975,47077,6484,498
868200,47079,8835,702
868486,47081,2391,297
868629,47083,1010,98
868688,47085,4608,327
868844,47087,777,98
868893,47089,11633,725
869180,47091,3348,235
869285,47093,224143,11694
870389,47095,624,66
870427,47097,4740,300
870562,47099,9137,738
870852,47101,2454,213
870953,47103,9230,574
871208,47105,13672,945
871534,47107,17218,912
871866,47109,4604,404
872035,47111,3659,308
872189,47113,53679,2532
872805,47115,6199,429
872991,47117,8369,512
873229,47119,31853,1837
873755,47121,1770,106
873798,47123,12575,717
874068,47125,46238,3000
874684,47127,1142,76
874716,47129,1298,154
874787,47131,8773,637
875028,47133,3895,330
875206,47135,1765,106
875265,47137,668,81
875306,47139,1338,223
875412,47141,31917,1845
875957,47143,8834,495
876165,47145,9169,745
876440,47147,20049,1202
876858,47149,114372,5517
877736,47151,3828,324
877901,47153,1959,180
877994,47155,43528,2859
878542,47157,447904,19536
879779,47159,4105,274
879920,47161,1646,164
880001,47163,62926,3362
880724,47165,48173,3347
881425,47167,10232,722
881683,47169,1440,111
881737,47171,3633,235
881848,47173,1742,212
881963,47175,469,43
881977,47177,9783,720
882255,47179,55010,2931
882923,47181,2770,214
883038,47183,8250,553
883255,47185,5706,415
883430,47187,132696,7483
884320,47189,43013,2818
884939,47999,89190,738
885147,48001,11749,871
885460,48003,6264,432
885633,48005,29020,1859
886173,48007,4172,503
886379,48009,1168,218
886485,48011,281,50
886507,48013,12264,815
886816,48015,7433,673
887127,48017,1375,144
887210,48019,3162,388
887394,48021,15490,1468
887846,48023,840,104
887904,48025,5427,481
888123,48027,97978,5340
888918,48029,778555,36838
890305,48031,2468,340
890468,48033,29,8
890469,48035,2340,298
890609,48037,33291,2181
891167,48039,97006,5911
892063,48041,72185,4523
892856,48043,2555,273
892998,48045,144,36
893011,48047,1572,112
893082,48049,13552,846
893404,48051,3105,330
893569,48053,12805,1297
893998,48055,6352,628
894254,48057,9970,438
894451,48059,1713,233
894582,48061,110105,6512
895512,48063,2638,210
895618,48065,893,131
895685,48067,5917,530
895904,48069,1241,157
895990,48071,14762,701
896278,48073,11542,793
896590,48075,1550,165
896685,48077,825,140
896757,48079,236,38
896776,48081,242,58
896800,48083,1459,198
896899,48085,453019,25558
898078,48087,486,65
898107,48089,6273,544
898353,48091,55173,3978
899153,48093,2554,250
899288,48095,382,47
899304,48097,15303,943
899671,48099,9720,738
899943,48101,124,27
899952,48103,1299,91
900016,48105,1052,119
900079,48107,604,92
900125,48109,719,54
900147,48111,1752,217
900252,48113,1534430,67311
901856,48115,2843,275
901983,48117,5471,374
902179,48119,266,54
902200,48121,234142,16086
903348,48123,5408,450
903550,48125,231,40
903571,48127,5465,228
903679,48129,377,71
903717,48131,2007,153
903811,48133,4854,457
904000,48135,67542,3869
904689,48137,317,39
904705,48139,46208,3221
905422,48141,244644,14960
906608,48143,13293,995
906976,48145,1747,220
907086,48147,5665,504
907293,48149,7246,764
907624,48151,457,66
907658,48153,894,143
907734,48155,171,25
907741,48157,182759,14535
908863,48159,6718,173
908952,48161,3126,367
909120,48163,5847,319
909283,48165,4991,482
909478,48167,88887,6020
910386,48169,1322,123
910445,48171,10207,1078
910836,48173,356,35
910847,48175,1003,129
910908,48177,5013,412
911111,48179,5900,535
911343,48181,41210,2636
911992,48183,67774,4022
912796,48185,6121,436
912999,48187,35064,2222
913608,48189,9947,669
913891,48191,403,68
913920,48193,1982,222
914031,48195,1162,152
914127,48197,775,90
914172,48199,8961,838
914497,48201,2110957,104302
916206,48203,19694,1309
916660,48205,1191,114
916729,48207,1022,136
916799,48209,64405,4597
917611,48211,1369,134
917681,48213,13848,1328
918117,48215,205275,12437
919179,48217,7778,643
919446,48219,7524,493
919656,48221,14295,1414
920132,48223,10069,749
920423,48225,3424,333
920584,48227,9797,764
920895,48229,393,34
920911,48231,25406,1562
921386,48233,5980,425
921563,48235,485,55
921595,48237,1752,218
921707,48239,4928,340
921883,48241,8459,614
922139,48243,386,61
922161,48245,103210,5663
923051,48247,1211,84
923099,48249,14012,797
923372,48251,39143,3010
924064,48253,2112,258
924183,48255,5485,336
924344,48257,27909,2108
924902,48259,15251,1476
925400,48261,140,16
925410,48263,72,12
925412,48265,17611,1502
925894,48267,889,143
925961,48271,535,40
925977,48273,6991,545
926214,48275,638,90
926264,48277,18660,1218
