"fips', 'county_zip_file_name', 'roads_length', 'intersections","NA","NA","NA"
"12119","tl_2019_12119_roads.zip","3155563.38266211","13310"
"12121","tl_2019_12121_roads.zip","4020385.2670541","10833"
"12123","tl_2019_12123_roads.zip","4694066.1087185","12006"
"12125","tl_2019_12125_roads.zip","1258571.25498796","2555"
"12127","tl_2019_12127_roads.zip","7171649.43150467","23446"
"12129","tl_2019_12129_roads.zip","2197173.60311878","4602"
"12131","tl_2019_12131_roads.zip","4044996.09630087","10607"
"12133","tl_2019_12133_roads.zip","2267109.33170817","4679"
"13001","tl_2019_13001_roads.zip","2107201.81287691","2775"
"13003","tl_2019_13003_roads.zip","1173594.77536655","1741"
"13005","tl_2019_13005_roads.zip","1095489.34378102","1516"
"13007","tl_2019_13007_roads.zip","1745002.8963358","3321"
"13009","tl_2019_13009_roads.zip","1108318.00832552","2815"
"13011","tl_2019_13011_roads.zip","956403.138734556","1223"
"13013","tl_2019_13013_roads.zip","1214444.94377716","2972"
"13015","tl_2019_13015_roads.zip","2323628.9435631","5689"
"13017","tl_2019_13017_roads.zip","1152109.4847834","2122"
"13019","tl_2019_13019_roads.zip","2361906.06749072","4262"
"13021","tl_2019_13021_roads.zip","1944850.45918468","6505"
"13023","tl_2019_13023_roads.zip","699694.083499929","1112"
"13025","tl_2019_13025_roads.zip","2127256.50052703","3861"
"13027","tl_2019_13027_roads.zip","1788630.66789534","2518"
"13029","tl_2019_13029_roads.zip","1645651.43382118","2894"
"13031","tl_2019_13031_roads.zip","3698638.55787771","7054"
"13033","tl_2019_13033_roads.zip","2149860.19466195","2286"
"13035","tl_2019_13035_roads.zip","820740.425622187","1892"
"13037","tl_2019_13037_roads.zip","834249.062568367","1091"
"13039","tl_2019_13039_roads.zip","2787511.00054112","6611"
"13043","tl_2019_13043_roads.zip","1003725.938308","1559"
"13045","tl_2019_13045_roads.zip","2725367.531679","5220"
"13047","tl_2019_13047_roads.zip","1100984.31906042","3655"
"13049","tl_2019_13049_roads.zip","2349504.45023906","5000"
"13051","tl_2019_13051_roads.zip","2648515.76621922","9960"
"13053","tl_2019_13053_roads.zip","1339276.25533787","3575"
"13055","tl_2019_13055_roads.zip","1261418.41616025","2617"
"13057","tl_2019_13057_roads.zip","3116749.3009987","7756"
"13059","tl_2019_13059_roads.zip","1236576.5501825","3960"
"13061","tl_2019_13061_roads.zip","974631.656100729","1743"
"13063","tl_2019_13063_roads.zip","2060199.91147562","6783"
"13065","tl_2019_13065_roads.zip","3423228.73017294","5745"
"13067","tl_2019_13067_roads.zip","7056951.3025145","37431"
"13069","tl_2019_13069_roads.zip","2916012.05674423","5277"
"13071","tl_2019_13071_roads.zip","2538756.96850792","4248"
"13073","tl_2019_13073_roads.zip","1692464.83625572","4045"
"13075","tl_2019_13075_roads.zip","1267094.21071895","2351"
"13077","tl_2019_13077_roads.zip","2443113.41206706","5599"
"13079","tl_2019_13079_roads.zip","737099.166386829","871"
"13081","tl_2019_13081_roads.zip","1161596.11217661","1878"
"13083","tl_2019_13083_roads.zip","1007399.35162928","2352"
"13085","tl_2019_13085_roads.zip","931150.504091659","1786"
"13087","tl_2019_13087_roads.zip","2113365.32876684","3401"
"13089","tl_2019_13089_roads.zip","4565067.2939529","16312"
"13091","tl_2019_13091_roads.zip","1744645.60726961","2233"
"13093","tl_2019_13093_roads.zip","1580027.97049692","2097"
"13095","tl_2019_13095_roads.zip","1650455.02985208","4264"
"13097","tl_2019_13097_roads.zip","1616421.91368209","4360"
"13099","tl_2019_13099_roads.zip","2083357.47844207","3640"
"13101","tl_2019_13101_roads.zip","1279926.31733791","1348"
"13103","tl_2019_13103_roads.zip","1792089.77966605","3606"
"13105","tl_2019_13105_roads.zip","1252495.7729954","1970"
"13107","tl_2019_13107_roads.zip","2361826.73317975","3005"
"13109","tl_2019_13109_roads.zip","1547874.69646101","4661"
"13111","tl_2019_13111_roads.zip","2103085.71667291","4872"
"13113","tl_2019_13113_roads.zip","1586596.77455357","3935"
"13115","tl_2019_13115_roads.zip","2292479.80374999","4558"
"13117","tl_2019_13117_roads.zip","2250124.23883327","6286"
"13119","tl_2019_13119_roads.zip","1309016.51145957","2387"
"13121","tl_2019_13121_roads.zip","7280094.11154235","27150"
"13123","tl_2019_13123_roads.zip","2273644.97924763","5965"
