,zip,cbp_total_employees,cbp_total_establishments
5713,17729,2,4
5714,17730,53,6
5715,17731,80,16
5716,17737,638,99
5717,17740,2730,225
5718,17744,237,33
5719,17745,4664,384
5720,17747,502,55
5721,17748,1769,18
5722,17750,36,3
5723,17751,2615,170
5724,17752,1059,72
5725,17754,5467,346
5726,17756,6268,354
5727,17758,84,16
5728,17760,75,9
5729,17762,44,7
5730,17764,349,40
5731,17765,44,13
5732,17771,282,27
5733,17772,519,44
5734,17774,136,14
5735,17776,62,6
5736,17777,1116,114
5737,17779,141,8
5738,17801,4882,348
5739,17810,466,32
5740,17812,404,34
5741,17813,285,25
5742,17814,741,88
5743,17815,14232,754
5744,17820,614,69
5745,17821,5465,359
5746,17822,9347,91
5747,17823,173,20
5748,17824,984,84
5749,17827,57,11
5750,17829,27,5
5751,17830,368,65
5752,17831,515,17
5753,17832,75,6
5754,17833,1367,13
5755,17834,292,44
5756,17835,18,5
5757,17836,17,6
5758,17837,12563,559
5759,17840,613,3
5760,17841,318,46
5761,17842,2086,133
5762,17844,2584,232
5763,17845,165,32
5764,17846,453,59
5765,17847,5098,257
5766,17850,226,11
5767,17851,1343,116
5768,17853,524,62
5769,17855,72,12
5770,17856,1016,49
5771,17857,3525,155
5772,17858,18,4
5773,17859,368,39
5774,17860,581,58
5775,17861,40,4
5776,17862,93,6
5777,17864,233,37
5778,17866,2131,106
5779,17868,318,11
5780,17870,8069,413
5781,17872,1313,157
5782,17876,955,79
5783,17878,141,19
5784,17881,44,16
5785,17884,183,5
5786,17886,133,8
5787,17887,29,3
5788,17888,3,3
5789,17889,185,42
5790,17901,12614,642
5791,17921,1139,93
5792,17922,538,56
5793,17929,1735,29
5794,17930,35,5
5795,17931,1718,133
5796,17933,136,15
5797,17934,49,5
5798,17935,74,9
5799,17936,196,4
